"Luka Doncic",7200,DAL,PG,BOS,44.166,13.838,34
"DeAndre Jordan",7100,DAL,C,BOS,55.17816,22.53862,37.69
"Ryan Broekhoff",3000,DAL,SG/SF,BOS,1.38282,0.22344,1.14
"Salah Mejri",3000,DAL,C,BOS,7.7961,3.2565,3.9
"Semi Ojeleye",3000,BOS,PF,DAL,20.56971,10.29,10.29
"Devin Harris",3400,DAL,PG/SG,BOS,21.989,11,11
"Maxi Kleber",3100,DAL,PF,BOS,36.46804,15.53546,18.74
"J.J. Barea",4500,DAL,PG/SG,BOS,38.88822,16.20528,22.26
"Dorian Finney-Smith",3800,DAL,SF,BOS,28.02324,12.58593,15.33
"Aron Baynes",3300,BOS,C,DAL,25.5819,9.77815,13.45
"Al Horford",5800,BOS,PF/C,DAL,44.97152,15.488,28.16
"Giannis Antetokounmpo",11200,MIL,SF/PF,SAS,80.50414,25.64886,57.38
"Brook Lopez",5100,MIL,C,SAS,44.38946,17.06134,24.98
"Ersan Ilyasova",3400,MIL,PF/C,SAS,29.49336,12.36288,16.44
"Khris Middleton",7100,MIL,SG/SF,SAS,67.84678,25.438,36.34
"Malcolm Brogdon",5000,MIL,PG/SG,SAS,46.23984,18.49072,26.08
"Chimezie Metu",3000,SAS,PF,MIL,4.54584,0.71816,3.76
"Eric Bledsoe",6900,MIL,PG/SG,SAS,55.92858,19.86552,32.46
"Pat Connaughton",3500,MIL,SG/SF,SAS,24.9875,9.6375,12.5
"Tony Snell",3100,MIL,SG/SF,SAS,21.02948,9.49956,10.52
"Jaylen Brown",4200,BOS,SG/SF,DAL,46.013,18.8705,25.85
"Jayson Tatum",6200,BOS,SF/PF,DAL,48.95838,17.49918,32.77
"Kyrie Irving",8700,BOS,PG,DAL,66.05508,22.43696,41.86
"Matthew Dellavedova",3000,MIL,PG/SG,SAS,19.93003,9.97,9.97
"Thon Maker",3000,MIL,PF/C,SAS,17.0829,6.9426,8.55
"Sterling Brown",3000,MIL,SG,SAS,16.21189,8.11,8.11
"Karl-Anthony Towns",9100,MIN,C,CHI,84.32762,30.25373,53.17
"Taj Gibson",4200,MIN,PF,CHI,36.62855,12.72745,22.85
"Anthony Davis",11400,NOP,PF/C,WAS,100.93148,29.66528,57.94
"Julius Randle",7300,NOP,PF/C,WAS,61.39584,28.34784,36.72
"Ian Clark",3100,NOP,PG/SG,WAS,23.40135,11.73,11.73
"Nikola Mirotic",6800,NOP,SF/PF,WAS,62.9943,22.99114,35.59
"Wesley Johnson",3300,NOP,SF/PF,WAS,28.35224,13.64816,15.76
"Jrue Holiday",8600,NOP,PG/SG,WAS,63.45658,18.94167,39.71
"E'Twaun Moore",5300,NOP,SG/SF,WAS,46.18444,16.9309,25.46
"Darius Miller",3100,NOP,SF/PF,WAS,26.06696,13.04,13.04
"Frank Jackson",3000,NOP,PG,WAS,7.63798,1.49572,6.13
"Dwight Howard",6100,WAS,C,NOP,47.66816,14.74064,28.96
"Markieff Morris",4500,WAS,SF/PF,NOP,34.13445,14.1645,19.95
"Jeff Green",4300,WAS,SF/PF,NOP,36.20175,14.31573,18.33
"Otto Porter",5500,WAS,SF/PF,NOP,53.24168,20.71876,30.74
"Kelly Oubre",4400,WAS,SG/SF,NOP,39.83336,16.268,23.24
"John Wall",8500,WAS,PG,NOP,62.93112,19.03236,47.82
"Bradley Beal",7400,WAS,SG,NOP,72.05523,26.84873,39.31
"Michael Carter-Williams",3100,HOU,PG,CLE,35.04176,15.57852,19.82
"Andrew Harrison",3300,CLE,PG,HOU,32.58682,12.86143,16.99
"Gary Clark",3500,HOU,SF,CLE,22.25808,3.4632,18.72
"Isaiah Hartenstein",3300,HOU,PF,CLE,12.25859,1.90735,10.31
"Gerald Green",3400,HOU,SG/SF,CLE,37.10144,15.05216,18.56
"Eric Gordon",4500,HOU,SG/SF,CLE,55.39545,22.80267,30.69
"Clint Capela",7500,HOU,C,CLE,69.6195,25.3935,40.5
"James Ennis",3900,HOU,SG/SF,CLE,37.13106,14.9447,20.06
"P.J. Tucker",4100,HOU,SF/PF,CLE,47.95601,20.12761,23.99
"Collin Sexton",5100,CLE,PG,HOU,37.05852,8.50068,27.78
"Rodney Hood",4300,CLE,SG/SF,HOU,52.28132,17.85888,27.56
"Larry Nance",5400,CLE,PF/C,HOU,34.79266,15.3753,19.34
"Kyle Korver",3100,CLE,SG/SF,HOU,31.52423,12.4583,15.77
"Jordan Clarkson",5200,CLE,PG/SG,HOU,54.72556,25.0802,28.18
"Tristan Thompson",5500,CLE,C,HOU,42.73412,16.01204,26.51
"David Nwaba",3700,CLE,SG/SF,HOU,40.104,15.17268,22.28
"Cedi Osman",4800,CLE,SF,HOU,40.85048,12.078,26.84
"Austin Rivers",3200,WAS,PG/SG,NOP,24.2535,10.68465,13.11
"Tomas Satoransky ",3500,WAS,PG/SG,NOP,33.37928,13.96592,18.28
"Justin Holiday",4600,CHI,SG/SF,MIN,44.3492,17.60808,26.32
"Jabari Parker",5900,CHI,SF/PF,MIN,53.95432,17.80856,33.04
"Wendell Carter",5400,CHI,C,MIN,34.1214,3.44288,30.74
"Zach LaVine",7800,CHI,PG/SG,MIN,68.0616,24.9888,41.1
"Ryan Arcidiacono",3700,CHI,PG,MIN,40.85198,14.1632,22.13
"Timothe Luwawu-Cabarrot",3200,OKC,SG,DEN,27.99945,14.47,14.47
"Alex Abrines",3000,OKC,SG/SF,DEN,28.9855,14.5,14.5
"Antonio Blakeney",3200,CHI,PG,MIN,45.41115,18.64977,23.11
"Chandler Hutchison",3100,CHI,SG,MIN,21.233,4.437,17
"Andrew Wiggins",6400,MIN,SG/SF,CHI,55.73797,20.6169,36.17
"Robert Covington",5700,MIN,SF/PF,CHI,53.46162,21.32622,32.46
"Jeff Teague",6000,MIN,PG,CHI,53.94627,16.3863,32.13
"Cristiano Felicio",3000,CHI,C,MIN,17.85107,7.9477,8.93
"Shaquille Harrison",3600,CHI,PG,MIN,30.35742,13.23564,16.26
"Robin Lopez",3000,CHI,C,MIN,26.36681,13.19,13.19
"Nerlens Noel",3400,OKC,C,DEN,30.28485,12.89265,15.15
"Patrick Patterson",3000,OKC,PF/C,DEN,23.54822,9.9541,11.78
"Paul Millsap",6100,DEN,PF/C,OKC,48.58832,18.48216,29.06
"Nikola Jokic",8800,DEN,C,OKC,71.6248,18.46,46.15
"Monte Morris",4200,DEN,PG,OKC,32.34778,14.38092,18.58
"Juan Hernangomez",4700,DEN,SF/PF,OKC,48.71101,16.5462,25.07
"Gary Harris",5700,DEN,SG,OKC,52.63908,19.2582,32.92
"Thomas Bryant ",3400,WAS,C,NOP,5.51724,2.76,2.76
"Jamal Murray",6300,DEN,PG/SG,OKC,63.28728,22.30816,34.64
"Trey Lyles",3700,DEN,SF/PF,OKC,41.8077,18.7616,22.55
"Malik Beasley",3100,DEN,SG,OKC,28.5857,14.3,14.3
"Jerami Grant",4400,OKC,SF/PF,DEN,48.9364,17.36201,26.03
"Steven Adams",6600,OKC,C,DEN,52.26016,20.42656,33.16
"Paul George",8300,OKC,SF/PF,DEN,66.75509,25.02808,40.63
